id,word,translation,language,status,created_at,updated_at
55,acayip,"удивительный, изумительный, необыкновенный
acayip cınıs vekilleri - представители прекрасного пола",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
56,acayıp,см. acayip,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
57,accı,"1) горький, едкий
accı turup - горечь
2) жжение, боль",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
58,aceba,"интересно, ли, так ли, а, неужели, разве
Aceba onıñ balası qayda oquy? - Интересно, а где учится его ребёнок?
O saña aytmadımı aceba? - Разве он тебе не сказал?
Aceba sen Ametni tanımaysıñmı? - Неужели ты не знаешь Амета?",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
59,acele,"спешный, срочный, экстренный
acele sımarış - срочный заказ
acele yardım - скорая помощь",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
60,aceleliknen,с поспешностью,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
61,acem,"перс, иранец
ср. fars
acem dülberi - писаная красавица",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
62,acemi,см. acemiy,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
63,acemilik,см. acemiylik,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
64,acemiy,"неопытный, новичок",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
65,acemiylik,неопытность,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
66,acep,см. aceba,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
67,acerha,см. ajderha,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
68,acet,"(aceti)
необходимость, нужда
aceti yoq - нет нужды",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
69,aci,см. acı,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
70,acililk,см. acılıq,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
71,acim,"объём
ср. kölem",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
72,aciz,"слабый, беспомощный",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
73,acizlik,беспомощность,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
74,acı,"совершивший паломничество в Мекку, паломник",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
75,acıbaba,аист,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
76,acılıq,"паломничество в Мекку, хадж",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
77,açılış,раскрытие,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
78,açılmaq,"1) открываться, отворяться, отпираться, расстёгиваться
2) раскрываться, распускаться, расцветать
3) проясняться",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
79,acıma,жалость,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
80,acımaq,"1) жалеть
ср. ayamaq
2) жечь, печь, болеть",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
81,açımaq,"/диал. степн./
скисать, киснуть
см. ekşimek",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
82,açın,в состоянии голода,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
83,acınıqlı,"жалобный, жалкий",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
84,acınmaq,сожалеть,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
85,açıq,"1) открытый, раскрытый, распахнутый
2) откровенный
3) ясный
4) явный
5) внятный
açıq til - отчётливая речь
6) светло-, ярко- (в сложных словах)
7) açıq eca - грам. открытый слог",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
86,açıq-açıqqa,"открыто, откровенно",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
87,açıq-aydın,"открыто, откровенно",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
88,açıqağız,"разиня, ротозей, зевака
ср. şaşqın 2)",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
89,açıqağızlıq,ротозейство,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
90,açıqavuz,"/диал. степн., орта-ё./
см. açıqağız",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
91,açıqköz,"расторопный, проворный, бдительный
ср. tetik 1)",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
92,açıqközlük,"бдительность, расторопность
açıqközlük etmek - проявлять бдительность",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
93,açıqlıq,"ясность, открытость",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
94,açıqmaq,"/диал./
проголодаться",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
95,açıtmaq,"/диал. степн./
заквашивать",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
96,acıtqı,замешанные водой отруби (корм для скота),Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
97,açıtqı,"/диал. степн./
закваска",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
98,acız,беспомощный,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
99,açköz,"1) жадный (к еде), алчный, ненасытный
ср. qıtmır, qızğanç
2) обжора
ср. tamaqkâr",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
100,açközlük,"ненасытность, жадность
açközliknen - с жадностью",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
101,açlı-toqlu,впроголодь,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
102,açlıq,"голод, голодовка, голодное время
açlıq çekmek - голодать",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
103,açmaq,"1) открывать, отворять, раскрывать
2) расцветать
söz açmaq - заводить разговор",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
104,açqalamaq,то и дело открывать (что-л.),Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
105,açqan,цветущий,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
106,açqıç,"открывалка, ключ дверной (очень редко)",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
107,acuv,"1) жалость
2) скисание, брожение
ср. mayalanuv, ekşüv",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
108,açuv,"зло, злоба
ср. öke, afaqan
açuvnen - со злом",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
109,açuvlanmaq,злиться,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
110,açuvlatmaq,злить,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
111,açuvlı,"сердитый, злой",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
112,açuvlı-açuvlı,сердито,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
113,acuvsız,безжалостный,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
114,ad,"1) имя, название
ср. nam, isim, adaq
adı çıqmaq - прославиться (в плохом смысле), прослыть кем-л.
ad bermek - давать имя, называть, нарекать
Adıñ ne? - Как тебя зовут?
ad ve baba adnıñ baş arifleri - инициалы
areket (или iş) adları - грам. имя действия
ср. isimfiil
2) граница, предел
ср. sıñır, hudut
adı-esabı yoq - бесчисленный
adden aşır - чрезмерный",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
115,ada,"остров
mercan adalar - коралловые острова",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
116,adalamaq,"путаться
ср. şaşmalamaq",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
117,adale,"мускул, мышца
adaleler - мускулатура, мускулы",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
118,adalet,"(adaleti)
справедливость",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
119,adaletli,"справедливый, беспристрастный
ср. insaflı",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
120,adaletperver,поборник справедливости,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
121,adaletsiz,несправедливый,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
122,adam,"человек, человеческий
ср. insan, kişi, nufus 2)
adam oğlu - сын человеческий
adam tanımamaq - чуждаться, не узнавать людей
adam bozması - ирон. подобие человека",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
123,adam-aqıllı,"толково, разумно",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
124,adamaq,"обещать, предназначать",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
125,adamca,по-человечески,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
126,adamcasına,см. adamca,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
127,adamçıq,"человечек
ufaq adamçıq - карлик",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
128,adamlıq,"1) человечество
ср. insaniyet
2) человечность",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
129,adamlıqlı,"человечный
ср. insaniyetli",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
130,adamsız,безлюдный,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
131,adamsızlıq,"бесчеловечность
ср. insaniyetsizlik",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
132,adaptatsiya,адаптация,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
133,adaptirlemek,адаптировать,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
134,adaptirlengen,адаптированный,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
135,adaq,"1) обет, обещание
2) имя, наречение
ср. nam, ad, isim",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
136,adaqlı,"1) обещанный
2) известный, многообещающий",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
137,adaş,см. addaş,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
138,adaşmaq,"заблудиться, заблуждаться, ошибаться, перепутать",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
139,adaştırmaq,"сбивать с пути, вводить в заблуждение",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
140,adavet,"(adaveti)
враждебность, неприязнь",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
141,addaş,тёзка,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
142,Adem,"Адам
Adem ve Avva - Адам и Ева
Adem evlâdı - сын Адама, собират. человек, люди
Adem babamız - наш прародитель
beniy-i Adem - род человеческий, люди",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
143,adet,"(adeti)
обычай, привычка, манера
adet olmaq - входить в обычай
adette olmağan - необычный
adet etmek - взять за привычку",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
144,adetince,"обычно, как правило, по (установившемуся) обычаю, как водится, как принято",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
145,adetiy,"привычный
adetiy şeyler aqqında adetiy olmağan fikirler - необычные мысли об обычных вещах",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
146,adetteki,"соответствующий обычаям, традиционный",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
147,adil,"справедливый, правый
ср. adaletli",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
148,adilâne,справедливо,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
149,adise,"случай, событие, происшествие, инцидент, явление
ср. vaqia, tesaduf",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
150,adiy,"1) простой, обычный, обыкновенный
ср. sade
2) (грам.) простой
adiy keniş cümle - простое распространённое предложение
adiy keniş olmağan cümle - простое нераспространённое предложение
adiy haber - простое сказуемое",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
151,adiyce,"просто, по простому",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
152,adiycesine,"просто, по-простому",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
153,adiyleşmek,упрощаться,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
154,adiyleştirmek,упрощать,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
155,adiylik,простота,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
156,adı-yolu,"adı-yolu çolpa - только и знают, что называют его неуклюжим",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
157,adım,"шаг
adım-adım - шаг за шагом, постепенно
adım atmaq - ступать, сделать первый шаг, начать",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
158,adımlamaq,"шагать, делать шаги",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
159,adıp,"(adıpı)
опушка, меховая обшивка по краям одежды",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
160,adır,холмистая безводная местность,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
161,adlama,"1) наименование
2) номинация",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
162,adlandırmaq,"называть, именовать",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
163,adlanmaq,"называться, именоваться",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
164,adlav,"1) наименование
2) номинация",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
165,adliye,"правосудие, юстиция",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
166,adliyeci,"юрист
ср. uquqçı",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
167,adlı,"называемый, именуемый",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
168,admiral,адмирал,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
169,adres,адрес,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
170,adsız,"безымянный, без имени",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
171,advokat,"(advokatı)
адвокат",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
172,aenk,"1) благозвучие, стройность звучания, гармония
2) грам. sesler aenki - гармония звуков
tañlay aenki - нёбная гармония
dudaq aenki - губная гармония",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
173,aenkdeşlik,"созвучие, созвучность",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
174,aenklemek,"настраивать (музыкальный инструмент)
см. sazlamaq",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
175,aenkleyici,"настройщик (музыкальных инструментов)
см. sazlayıcı",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
176,aenkli,"гармоничный, мелодичный, звучный
aenkli ezgiler - мелодичные напевы",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
177,aenklik,благозвучие,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
178,aenksizlik,"неблагозвучность, неблагозвучие",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
179,Aeroflotskiy,Аэрофлотский (посёлок в Крыму),Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
180,aeroport,"/русизм/
см. ava limanı",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
181,aerozol,"произн. [аэрозоль]
аэрозоль",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
182,afan-tufan,потоп (всемирный),Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
183,afaqan,"злоба, злость, гнев, ярость
ср. açuv, öke, ğarez, kin, hışım
afaqanım qaynadı - во мне закипела злоба",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
184,afaqanlanmaq,"злиться, сердиться",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
185,afara,afara ölümler - внезапные кончины,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
186,afat,"(afatı)
гроза, бедствие",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
187,afatlı,"грозный, грозящий бедой",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
188,aferin,"молодец!
ср. maşalla, evalla, eşq olsun!",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
189,afferim,см. aferin,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
190,afferin,"/диал./
см. aferin",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
191,affiks,"грам. аффикс, окончание
ср. yalğama
mülkiyet affiksleri - аффиксы принадлежности
haberlik affiksleri - аффиксы сказуемости
keliş affiksleri - падежные аффиксы",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
192,afğan,"афганец, афганский",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
193,Afğanistan,Афганистан,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
194,afişa,афиша,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
195,afiyet,"afiyet(ler) olsun! - на здоровье! (ответ на благодарность за выпитую воду, кофе, чай)",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
196,afiyon,см. afyon,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
197,afiza,см. afıza,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
198,afı,"непрочный
afı bina - непрочное здание",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
199,afıdan,непрочно,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
200,afırma,"гавканье, лай, тявканье",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
201,afırmaq,"лаять
ср. avlamaq, avuldamaq",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
202,afıruv,"гавканье, лай, тявканье",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
203,afıza,"память
ср. hatıra",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
204,aforizm,афоризм,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
205,afrata,"/диал./
см. mısırboğday",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
206,Afrika,"Африка, африканский",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
207,afsus,"afsus ki - к сожалению, жаль
ср. yazıq, teessüf",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
208,afta,"неделя
afta arası - среди недели
Bugün aftanıñ)ne künü? - Какой сегодня день недели?
aftanıñ başında - в начале недели
aftanıñ soñunda - в конце недели
aftalarnen - неделями
aftalıq - недельный, предназначенный на неделю",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
209,afu,"извинение
afu istemek - просить извинения
afu etiñiz - извините!
ср. bağışlañız, ayıp etmeñiz",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
210,afuruzmen,"мед. флюс
ср. yaqma",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
211,afyon,"опиум, нарокотик
afyonı patlamadı - ещё не отошёл ото сна",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
212,ağ,"сеть, невод, сетка, сачок
ср. saçma
***
demiryol ağı - железнодорожная сеть
saatlar ağı - сетка часов (в школе, вузе и т.д.)
suv ağı - водопроводная сеть",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
213,ağa,"1) старший брат
2) обращение к старшему
3) уважительное обращение после имени человека
Amet ağa - Амет ага",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
214,ağa-qardaş,братья,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
215,ağa-qardaşça,по-братски,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
216,ağa-qardaşçasına,по-братски,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
217,ağa-qardaşlıq,братство,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
218,ağaç,"1) древесина, деревянный
ağaç kevdesi - ствол
ağaç qısmı - древесина
ağaç biti - зоо. листоблошка
2) /устар./
дерево
см. terek",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
219,ağalıq,положение старшего,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
220,ağarğan,"1) побледневший
2) линялый, выцветший",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
221,ağarmaq,"1) белеть
2) седеть
3) бледнеть, рассветать
4) линять, выцветать, блёкнуть (о красках)",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
222,ağartmaq,"1) белить
2) вычистить добела
3) отбеливать",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
223,ağartuv,беление,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
224,agat,"/русизм/
см. akik",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
225,ağbaba,гриф,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
226,agent,"(agenti)
агент",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
227,agentlik,агентство,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
228,agitator,"/русизм/
см. teşviqatçı",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
229,ağım,см. aqım,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
230,ağımdaki,см. aqımdaki,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
231,ağır,"тяжёлый, трудный
ср. qıyın, zor",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
232,ağır-sabır,"размеренно, неторопливо",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
233,ağır-sabırlı,уравновешенный (о человеке),Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
234,ağır-sabırnen,см. ağır-sabır,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
235,ağırayaqlı,"беременная
ср. yüklü, hamile",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
236,ağırğan,болевой,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
237,ağırı,боль,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
238,ağırlanmaq,"затрудняться, чувствовать себя неловко",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
239,ağırlaşmaq,тяжелеть,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
